WATER_SY_1,WATER_SYST,GLOBALID,BOUNDARY_T,OWNER_TYPE,COUNTY,REGULATING,FEDERAL_CL,STATE_CLAS,SERVICE_CO,POPULATION,pop_est_total,pop_pct_difference,pop_est_asian,pop_est_black_or_african_american,pop_est_hispanic_or_latino,pop_est_native_american_or_alaska_native,pop_est_other_or_multiple,pop_est_pacific_islander,pop_est_white,pct_est_asian,pct_est_black_or_african_american,pct_est_hispanic_or_latino,pct_est_native_american_or_alaska_native,pct_est_other_or_multiple,pct_est_pacific_islander,pct_est_white,med_hh_income_est
HOOD WATER MAINTENCE DIST [SWS],CA3400101,{36268DB3-9DB2-4305-A85A-2C3A85F20F34},Water Service Area,L,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,COMMUNITY,COMMUNITY,82,100,1,-99,0,0,1,0,0,0,0,0,0,59.49,0,1.78,0,38.74,51250
MC CLELLAN MHP,CA3400179,{E3BF3C3E-D516-45B2-A5AD-6900F8D16715},Water Service Area,P,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,COMMUNITY,COMMUNITY,199,700,310,-55.71,70,33,32,0,17,0,158,22.53,10.7,10.46,0,5.51,0,50.79,37833
MAGNOLIA MUTUAL WATER,CA3400130,{BADB48CD-AF05-4135-8FD5-9990BE415405},Water Service Area,P,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,COMMUNITY,COMMUNITY,34,40,1,-97.5,0,0,1,0,0,0,1,3.93,0,48.22,0,2.81,0,45.04,63076
KORTHS PIRATES LAIR,CA3400135,{7A556C0E-57E2-499A-9B87-B5707C837DA8},Water Service Area,P,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,COMMUNITY,COMMUNITY,64,150,0,-100,0,0,0,0,0,0,0,0,2.75,5.19,0,2.6,0,89.47,28182
EL DORADO MOBILE HOME PARK,CA3400121,{23B9391F-B6E7-44CE-A0EA-C2EE522857BF},Water Service Area,P,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,COMMUNITY,COMMUNITY,128,256,145,-43.36,14,28,85,0,5,0,12,10.03,19.48,58.72,0,3.42,0,8.36,34669
RIVER'S EDGE MARINA & RESORT,CA3400107,{F56E068C-AE1B-4C68-A2AF-F5058871E4E2},Water Service Area,P,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,COMMUNITY,COMMUNITY,83,150,0,-100,0,0,0,0,0,0,0,0,2.75,5.19,0,2.6,0,89.47,28182
LAGUNA VILLAGE RV PARK,CA3400397,{5184D6CC-8084-494D-BD81-B0009F76F1FD},Water Service Area,P,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,COMMUNITY,COMMUNITY,28,32,21,-34.38,10,2,2,0,2,2,1,49.23,10.4,11.93,0,10.63,11.31,6.49,75625
SPINDRIFT MARINA,CA3400169,{3B1EC48B-B696-452E-A769-99EF03DE955E},Water Service Area,P,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,COMMUNITY,COMMUNITY,50,100,0,-100,0,0,0,0,0,0,0,0,2.75,5.19,0,2.6,0,89.47,28182
SAC CITY MOBILE HOME COMMUNITY LP,CA3400296,{BBEBB4AF-57F6-4CBA-9746-6EDDFF0BB86B},Water Service Area,P,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,COMMUNITY,COMMUNITY,164,350,272,-22.29,146,11,95,0,0,0,20,53.7,4.14,34.88,0,0,0,7.28,24757
ORANGE VALE WATER COMPANY,CA3410016,{E7FB0496-8E98-4C1C-B073-40B7F2308EE3},Water Service Area,P,SACRAMENTO,DISTRICT 09 - SACRAMENTO,COMMUNITY,COMMUNITY,5684,18005,17664,-1.89,639,254,2762,117,1337,86,12471,3.61,1.44,15.63,0.66,7.57,0.48,70.6,90240
