WATER_SY_1,metric,value
HOOD WATER MAINTENCE DIST [SWS],Asian,0
HOOD WATER MAINTENCE DIST [SWS],Black / African American,0
HOOD WATER MAINTENCE DIST [SWS],Hispanic / Latino,59.49
HOOD WATER MAINTENCE DIST [SWS],Native American,0
HOOD WATER MAINTENCE DIST [SWS],Other / Multiple,1.78
HOOD WATER MAINTENCE DIST [SWS],Pacific Islander,0
HOOD WATER MAINTENCE DIST [SWS],White,38.74
MC CLELLAN MHP,Asian,22.53
MC CLELLAN MHP,Black / African American,10.7
MC CLELLAN MHP,Hispanic / Latino,10.46
MC CLELLAN MHP,Native American,0
MC CLELLAN MHP,Other / Multiple,5.51
MC CLELLAN MHP,Pacific Islander,0
MC CLELLAN MHP,White,50.79
MAGNOLIA MUTUAL WATER,Asian,3.93
MAGNOLIA MUTUAL WATER,Black / African American,0
MAGNOLIA MUTUAL WATER,Hispanic / Latino,48.22
MAGNOLIA MUTUAL WATER,Native American,0
MAGNOLIA MUTUAL WATER,Other / Multiple,2.81
MAGNOLIA MUTUAL WATER,Pacific Islander,0
MAGNOLIA MUTUAL WATER,White,45.04
KORTHS PIRATES LAIR,Asian,0
KORTHS PIRATES LAIR,Black / African American,2.75
KORTHS PIRATES LAIR,Hispanic / Latino,5.19
KORTHS PIRATES LAIR,Native American,0
KORTHS PIRATES LAIR,Other / Multiple,2.6
KORTHS PIRATES LAIR,Pacific Islander,0
KORTHS PIRATES LAIR,White,89.47
EL DORADO MOBILE HOME PARK,Asian,10.03
EL DORADO MOBILE HOME PARK,Black / African American,19.48
EL DORADO MOBILE HOME PARK,Hispanic / Latino,58.72
EL DORADO MOBILE HOME PARK,Native American,0
EL DORADO MOBILE HOME PARK,Other / Multiple,3.42
EL DORADO MOBILE HOME PARK,Pacific Islander,0
EL DORADO MOBILE HOME PARK,White,8.36
RIVER'S EDGE MARINA & RESORT,Asian,0
RIVER'S EDGE MARINA & RESORT,Black / African American,2.75
RIVER'S EDGE MARINA & RESORT,Hispanic / Latino,5.19
RIVER'S EDGE MARINA & RESORT,Native American,0
RIVER'S EDGE MARINA & RESORT,Other / Multiple,2.6
RIVER'S EDGE MARINA & RESORT,Pacific Islander,0
RIVER'S EDGE MARINA & RESORT,White,89.47
LAGUNA VILLAGE RV PARK,Asian,49.23
LAGUNA VILLAGE RV PARK,Black / African American,10.4
LAGUNA VILLAGE RV PARK,Hispanic / Latino,11.93
LAGUNA VILLAGE RV PARK,Native American,0
LAGUNA VILLAGE RV PARK,Other / Multiple,10.63
LAGUNA VILLAGE RV PARK,Pacific Islander,11.31
LAGUNA VILLAGE RV PARK,White,6.49
SPINDRIFT MARINA,Asian,0
SPINDRIFT MARINA,Black / African American,2.75
SPINDRIFT MARINA,Hispanic / Latino,5.19
SPINDRIFT MARINA,Native American,0
SPINDRIFT MARINA,Other / Multiple,2.6
SPINDRIFT MARINA,Pacific Islander,0
SPINDRIFT MARINA,White,89.47
SAC CITY MOBILE HOME COMMUNITY LP,Asian,53.7
SAC CITY MOBILE HOME COMMUNITY LP,Black / African American,4.14
SAC CITY MOBILE HOME COMMUNITY LP,Hispanic / Latino,34.88
SAC CITY MOBILE HOME COMMUNITY LP,Native American,0
SAC CITY MOBILE HOME COMMUNITY LP,Other / Multiple,0
SAC CITY MOBILE HOME COMMUNITY LP,Pacific Islander,0
SAC CITY MOBILE HOME COMMUNITY LP,White,7.28
ORANGE VALE WATER COMPANY,Asian,3.61
ORANGE VALE WATER COMPANY,Black / African American,1.44
ORANGE VALE WATER COMPANY,Hispanic / Latino,15.63
ORANGE VALE WATER COMPANY,Native American,0.66
ORANGE VALE WATER COMPANY,Other / Multiple,7.57
ORANGE VALE WATER COMPANY,Pacific Islander,0.48
ORANGE VALE WATER COMPANY,White,70.6
GOLDEN STATE WATER CO. - CORDOVA,Asian,11.86
GOLDEN STATE WATER CO. - CORDOVA,Black / African American,8.05
GOLDEN STATE WATER CO. - CORDOVA,Hispanic / Latino,18.12
GOLDEN STATE WATER CO. - CORDOVA,Native American,0.14
GOLDEN STATE WATER CO. - CORDOVA,Other / Multiple,5.57
GOLDEN STATE WATER CO. - CORDOVA,Pacific Islander,0.45
GOLDEN STATE WATER CO. - CORDOVA,White,55.8
HOLIDAY MOBILE VILLAGE,Asian,29.6
HOLIDAY MOBILE VILLAGE,Black / African American,4.33
HOLIDAY MOBILE VILLAGE,Hispanic / Latino,47.39
HOLIDAY MOBILE VILLAGE,Native American,0
HOLIDAY MOBILE VILLAGE,Other / Multiple,7.03
HOLIDAY MOBILE VILLAGE,Pacific Islander,0
HOLIDAY MOBILE VILLAGE,White,11.65
SOUTHWEST TRACT W M D [SWS],Asian,38.78
SOUTHWEST TRACT W M D [SWS],Black / African American,15.27
SOUTHWEST TRACT W M D [SWS],Hispanic / Latino,24.11
SOUTHWEST TRACT W M D [SWS],Native American,1.43
SOUTHWEST TRACT W M D [SWS],Other / Multiple,4.59
SOUTHWEST TRACT W M D [SWS],Pacific Islander,0.66
SOUTHWEST TRACT W M D [SWS],White,15.16
CARMICHAEL WATER DISTRICT,Asian,8.43
CARMICHAEL WATER DISTRICT,Black / African American,4.22
CARMICHAEL WATER DISTRICT,Hispanic / Latino,16.23
CARMICHAEL WATER DISTRICT,Native American,0.24
CARMICHAEL WATER DISTRICT,Other / Multiple,5.66
CARMICHAEL WATER DISTRICT,Pacific Islander,0.98
CARMICHAEL WATER DISTRICT,White,64.24
SCWA - ARDEN PARK VISTA,Asian,5.41
SCWA - ARDEN PARK VISTA,Black / African American,2.38
SCWA - ARDEN PARK VISTA,Hispanic / Latino,11.22
SCWA - ARDEN PARK VISTA,Native American,0.01
SCWA - ARDEN PARK VISTA,Other / Multiple,4.01
SCWA - ARDEN PARK VISTA,Pacific Islander,0.13
SCWA - ARDEN PARK VISTA,White,76.85
SCWA - LAGUNA/VINEYARD,Asian,33.31
SCWA - LAGUNA/VINEYARD,Black / African American,10.61
SCWA - LAGUNA/VINEYARD,Hispanic / Latino,19.4
SCWA - LAGUNA/VINEYARD,Native American,0.17
SCWA - LAGUNA/VINEYARD,Other / Multiple,6.61
SCWA - LAGUNA/VINEYARD,Pacific Islander,1.66
SCWA - LAGUNA/VINEYARD,White,28.24
RIO COSUMNES CORRECTIONAL CENTER [SWS],Asian,4.29
RIO COSUMNES CORRECTIONAL CENTER [SWS],Black / African American,20.94
RIO COSUMNES CORRECTIONAL CENTER [SWS],Hispanic / Latino,24.56
RIO COSUMNES CORRECTIONAL CENTER [SWS],Native American,3.18
RIO COSUMNES CORRECTIONAL CENTER [SWS],Other / Multiple,9.49
RIO COSUMNES CORRECTIONAL CENTER [SWS],Pacific Islander,2.02
RIO COSUMNES CORRECTIONAL CENTER [SWS],White,35.52
SCWA MATHER-SUNRISE,Asian,24.78
SCWA MATHER-SUNRISE,Black / African American,8.64
SCWA MATHER-SUNRISE,Hispanic / Latino,13.96
SCWA MATHER-SUNRISE,Native American,0.21
SCWA MATHER-SUNRISE,Other / Multiple,5.9
SCWA MATHER-SUNRISE,Pacific Islander,0.06
SCWA MATHER-SUNRISE,White,46.43
TUNNEL TRAILER PARK,Asian,6.51
TUNNEL TRAILER PARK,Black / African American,0
TUNNEL TRAILER PARK,Hispanic / Latino,64.68
TUNNEL TRAILER PARK,Native American,0
TUNNEL TRAILER PARK,Other / Multiple,0
TUNNEL TRAILER PARK,Pacific Islander,0
TUNNEL TRAILER PARK,White,28.81
IMPERIAL MANOR MOBILEHOME COMMUNITY,Asian,1.37
IMPERIAL MANOR MOBILEHOME COMMUNITY,Black / African American,16.4
IMPERIAL MANOR MOBILEHOME COMMUNITY,Hispanic / Latino,18.29
IMPERIAL MANOR MOBILEHOME COMMUNITY,Native American,0
IMPERIAL MANOR MOBILEHOME COMMUNITY,Other / Multiple,8.28
IMPERIAL MANOR MOBILEHOME COMMUNITY,Pacific Islander,0
IMPERIAL MANOR MOBILEHOME COMMUNITY,White,55.66
CALAM - ISLETON,Asian,4.01
CALAM - ISLETON,Black / African American,1.33
CALAM - ISLETON,Hispanic / Latino,31.51
CALAM - ISLETON,Native American,0
CALAM - ISLETON,Other / Multiple,2.11
CALAM - ISLETON,Pacific Islander,0
CALAM - ISLETON,White,61.04
"FOLSOM, CITY OF - ASHLAND",Asian,4.79
"FOLSOM, CITY OF - ASHLAND",Black / African American,1.38
"FOLSOM, CITY OF - ASHLAND",Hispanic / Latino,8.38
"FOLSOM, CITY OF - ASHLAND",Native American,0.04
"FOLSOM, CITY OF - ASHLAND",Other / Multiple,7.87
"FOLSOM, CITY OF - ASHLAND",Pacific Islander,0.02
"FOLSOM, CITY OF - ASHLAND",White,77.52
LOCKE WATER WORKS CO [SWS],Asian,3.93
LOCKE WATER WORKS CO [SWS],Black / African American,0
LOCKE WATER WORKS CO [SWS],Hispanic / Latino,48.22
LOCKE WATER WORKS CO [SWS],Native American,0
LOCKE WATER WORKS CO [SWS],Other / Multiple,2.81
LOCKE WATER WORKS CO [SWS],Pacific Islander,0
LOCKE WATER WORKS CO [SWS],White,45.04
DEL PASO MANOR COUNTY WATER DI,Asian,3.3
DEL PASO MANOR COUNTY WATER DI,Black / African American,6.63
DEL PASO MANOR COUNTY WATER DI,Hispanic / Latino,8.88
DEL PASO MANOR COUNTY WATER DI,Native American,0.59
DEL PASO MANOR COUNTY WATER DI,Other / Multiple,5.34
DEL PASO MANOR COUNTY WATER DI,Pacific Islander,0.94
DEL PASO MANOR COUNTY WATER DI,White,74.33
EAST WALNUT GROVE [SWS],Asian,3.93
EAST WALNUT GROVE [SWS],Black / African American,0
EAST WALNUT GROVE [SWS],Hispanic / Latino,48.22
EAST WALNUT GROVE [SWS],Native American,0
EAST WALNUT GROVE [SWS],Other / Multiple,2.81
EAST WALNUT GROVE [SWS],Pacific Islander,0
EAST WALNUT GROVE [SWS],White,45.04
FOLSOM STATE PRISON,Asian,2.38
FOLSOM STATE PRISON,Black / African American,41.94
FOLSOM STATE PRISON,Hispanic / Latino,34.36
FOLSOM STATE PRISON,Native American,1.85
FOLSOM STATE PRISON,Other / Multiple,0.99
FOLSOM STATE PRISON,Pacific Islander,0.91
FOLSOM STATE PRISON,White,17.57
CALAM - ARDEN,Asian,12.4
CALAM - ARDEN,Black / African American,19.68
CALAM - ARDEN,Hispanic / Latino,33.45
CALAM - ARDEN,Native American,0.19
CALAM - ARDEN,Other / Multiple,6.96
CALAM - ARDEN,Pacific Islander,0.32
CALAM - ARDEN,White,27
EDGEWATER MOBILE HOME PARK,Asian,0
EDGEWATER MOBILE HOME PARK,Black / African American,2.75
EDGEWATER MOBILE HOME PARK,Hispanic / Latino,5.19
EDGEWATER MOBILE HOME PARK,Native American,0
EDGEWATER MOBILE HOME PARK,Other / Multiple,2.6
EDGEWATER MOBILE HOME PARK,Pacific Islander,0
EDGEWATER MOBILE HOME PARK,White,89.47
CALAM - LINCOLN OAKS,Asian,5.21
CALAM - LINCOLN OAKS,Black / African American,3.36
CALAM - LINCOLN OAKS,Hispanic / Latino,21.34
CALAM - LINCOLN OAKS,Native American,0.38
CALAM - LINCOLN OAKS,Other / Multiple,5.43
CALAM - LINCOLN OAKS,Pacific Islander,0.13
CALAM - LINCOLN OAKS,White,64.17
"VIEIRA'S RESORT, INC",Asian,3.77
"VIEIRA'S RESORT, INC",Black / African American,1.46
"VIEIRA'S RESORT, INC",Hispanic / Latino,28.35
"VIEIRA'S RESORT, INC",Native American,0
"VIEIRA'S RESORT, INC",Other / Multiple,2.31
"VIEIRA'S RESORT, INC",Pacific Islander,0
"VIEIRA'S RESORT, INC",White,64.11
FLORIN COUNTY WATER DISTRICT,Asian,29.86
FLORIN COUNTY WATER DISTRICT,Black / African American,11.71
FLORIN COUNTY WATER DISTRICT,Hispanic / Latino,28.43
FLORIN COUNTY WATER DISTRICT,Native American,0.04
FLORIN COUNTY WATER DISTRICT,Other / Multiple,5.76
FLORIN COUNTY WATER DISTRICT,Pacific Islander,8.38
FLORIN COUNTY WATER DISTRICT,White,15.83
WESTERNER MOBILE HOME PARK,Asian,30.72
WESTERNER MOBILE HOME PARK,Black / African American,25.02
WESTERNER MOBILE HOME PARK,Hispanic / Latino,19.42
WESTERNER MOBILE HOME PARK,Native American,1.03
WESTERNER MOBILE HOME PARK,Other / Multiple,3.22
WESTERNER MOBILE HOME PARK,Pacific Islander,0.64
WESTERNER MOBILE HOME PARK,White,19.94
EL DORADO WEST MHP,Asian,10.03
EL DORADO WEST MHP,Black / African American,19.48
EL DORADO WEST MHP,Hispanic / Latino,58.72
EL DORADO WEST MHP,Native American,0
EL DORADO WEST MHP,Other / Multiple,3.42
EL DORADO WEST MHP,Pacific Islander,0
EL DORADO WEST MHP,White,8.36
TOKAY PARK WATER CO,Asian,34.82
TOKAY PARK WATER CO,Black / African American,9.48
TOKAY PARK WATER CO,Hispanic / Latino,32.1
TOKAY PARK WATER CO,Native American,0.59
TOKAY PARK WATER CO,Other / Multiple,1.67
TOKAY PARK WATER CO,Pacific Islander,0
TOKAY PARK WATER CO,White,21.34
LAGUNA DEL SOL INC,Asian,1.21
LAGUNA DEL SOL INC,Black / African American,0
LAGUNA DEL SOL INC,Hispanic / Latino,37.91
LAGUNA DEL SOL INC,Native American,1.38
LAGUNA DEL SOL INC,Other / Multiple,1.12
LAGUNA DEL SOL INC,Pacific Islander,0
LAGUNA DEL SOL INC,White,58.38
OLYMPIA MOBILODGE,Asian,36
OLYMPIA MOBILODGE,Black / African American,6.08
OLYMPIA MOBILODGE,Hispanic / Latino,24.47
OLYMPIA MOBILODGE,Native American,0
OLYMPIA MOBILODGE,Other / Multiple,0
OLYMPIA MOBILODGE,Pacific Islander,4.81
OLYMPIA MOBILODGE,White,28.64
GOLDEN STATE WATER CO - ARDEN WATER SERV,Asian,13.96
GOLDEN STATE WATER CO - ARDEN WATER SERV,Black / African American,8.87
