water_system_name,population_total_count,population_hispanic_or_latino_count,population_white_count,population_black_or_african_american_count,population_native_american_or_alaska_native_count,population_asian_count,population_pacific_islander_count,population_other_count,population_multiple_count,population_hispanic_or_latino_percent,population_white_percent,population_black_or_african_american_percent,population_native_american_or_alaska_native_percent,population_asian_percent,population_pacific_islander_percent,population_other_percent,population_multiple_percent,poverty_total_assessed_count,poverty_below_level_count,poverty_above_level_count,poverty_rate_percent,households_count,households_income_below_10k_count,households_income_10k_15k_count,households_income_15k_20k_count,households_income_20k_25k_count,households_income_25k_30k_count,households_income_30k_35k_count,households_income_35k_40k_count,households_income_40k_45k_count,households_income_45k_50k_count,households_income_50k_60k_count,households_income_60k_75k_count,households_income_75k_100k_count,households_income_100k_125k_count,households_income_125k_150k_count,households_income_150k_200k_count,households_income_above_200k_count,households_income_25k_brackets_0_25k_count,households_income_25k_brackets_25k_50k_count,households_income_25k_brackets_50k_75k_count,households_income_50k_brackets_0_50k_count,households_income_50k_brackets_50k_100k_count,households_income_50k_brackets_100k_150k_count,households_mortgage_total_count,households_mortgage_housing_costs_over30pct_count,households_mortgage_housing_costs_over50pct_count,households_no_mortgage_total_count,households_no_mortgage_housing_costs_over30pct_count,households_no_mortgage_housing_costs_over50pct_count,households_rent_total_count,households_rent_housing_costs_over30pct_count,households_rent_housing_costs_over50pct_count,households_all_housing_costs_over30pct_percent,households_all_housing_costs_over50pct_percent,average_household_size_hh_weighted,median_household_income_hh_weighted,per_capita_income_pop_weighted
B & W RESORT MARINA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
CAL AM FRUITRIDGE VISTA,22603,10939,3504,2663,121,4075,240,103,957,48.4,15.5,11.78,0.54,18.03,1.06,0.46,4.23,22556,6010,16546,26.64,6900,354,339,521,263,367,302,359,355,565,692,876,784,459,235,287,141,1477,1948,1568,3425,2352,694,1620,745,345,1236,95,58,4044,2131,1059,43.06,21.19,3.2578059416417346,53040.44113156888,20519.569076441432
CALAM - ANTELOPE,33120,5245,19456,3199,113,2947,77,235,1847,15.84,58.74,9.66,0.34,8.9,0.23,0.71,5.58,33034,3389,29645,10.26,10529,315,184,101,122,116,469,248,368,449,737,1077,1669,1501,1077,1158,937,722,1650,1814,2372,3483,2578,5544,1861,621,1747,184,106,3238,1678,649,35.36,13.07,3.1345302087117366,93741.54894285185,34660.43709201826
CALAM - ARDEN,10112,3433,2392,1977,70,1082,59,92,1008,33.95,23.66,19.55,0.69,10.7,0.58,0.91,9.97,10034,3130,6904,31.19,3823,201,259,239,167,319,190,142,236,207,440,394,535,228,148,62,58,866,1094,834,1960,1369,376,265,84,46,133,8,3,3426,2124,1170,57.96,31.89,2.6236426838601012,49624.62015306522,22770.82157980776
CALAM - ISLETON,34,14,17,0,0,2,0,0,1,41.18,50,0,0,5.88,0,0,2.94,34,7,27,20.59,16,1,1,0,1,1,0,1,1,0,2,1,1,3,1,0,1,3,3,3,6,4,4,6,4,1,7,2,2,4,1,1,43.75,25,2.0789934965188213,57361.758044022434,40672.21234441078
CALAM - LINCOLN OAKS,42916,9056,26529,1486,143,2706,288,232,2476,21.1,61.82,3.46,0.33,6.31,0.67,0.54,5.77,42823,4074,38749,9.51,15621,740,375,308,622,488,616,585,629,645,1035,1641,2442,1889,1272,1555,778,2045,2963,2676,5008,5118,3161,7390,2671,919,3332,503,298,4900,2523,1302,36.47,16.13,2.7302804909283616,82035.52088760637,33728.94235778291
CALAM - PARKWAY,58635,18665,8921,6965,21,19228,1386,135,3315,31.83,15.21,11.88,0.04,32.79,2.36,0.23,5.65,58434,9804,48630,16.78,17667,1081,753,514,713,694,640,713,700,727,1145,1918,2490,1634,1532,1546,865,3061,3474,3063,6535,5553,3166,7163,2719,1049,3418,647,383,7086,3517,1917,38.96,18.96,3.284607556891153,72938.51439696936,26938.13941161509
CALAM - SUBURBAN ROSEMONT,57897,13791,25062,7725,91,6905,380,248,3695,23.82,43.29,13.34,0.16,11.93,0.66,0.43,6.38,57661,8374,49287,14.52,21045,1156,612,472,744,653,568,582,874,628,1289,2508,3438,2595,1594,1671,1661,2984,3305,3797,6289,7235,4189,8262,2262,730,3425,439,271,9358,4521,2320,34.32,15.78,2.7269365676013217,81229.87090779487,34497.37344907046
CALAM - WALNUT GROVE,12,5,5,0,0,1,0,0,0,41.67,41.67,0,0,8.33,0,0,0,12,2,10,16.67,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,2,0,2,0,0,1,0,0,2,1,0,20,0,2.49,68248,38950
CALIFORNIA STATE FAIR,532,78,262,91,0,48,0,0,52,14.66,49.25,17.11,0,9.02,0,0,9.77,526,152,374,28.9,285,65,13,8,5,9,14,2,0,23,29,30,35,21,11,17,3,91,48,59,139,94,32,0,0,0,0,0,0,285,177,95,62.11,33.33,1.82,52886,33141
CARMICHAEL WATER DISTRICT,39253,6192,25026,2230,68,3326,295,28,2088,15.77,63.76,5.68,0.17,8.47,0.75,0.07,5.32,38700,5000,33700,12.92,15937,570,534,513,472,398,607,522,684,541,996,1595,1782,1724,1200,1678,2122,2089,2752,2591,4841,4373,2924,5256,1399,669,3147,358,177,7534,4056,2068,36.47,18.28,2.405914184458731,96967.64494126133,46901.802443947105
CITRUS HEIGHTS WATER DISTRICT,68912,12380,48148,2092,162,2875,71,99,3086,17.96,69.87,3.04,0.24,4.17,0.1,0.14,4.48,68581,6961,61620,10.15,25633,1012,569,446,769,665,867,841,723,1165,1875,3057,3954,2744,2332,2533,2080,2796,4261,4932,7057,8886,5076,10344,3553,1380,4293,554,286,10996,5759,2620,38.49,16.72,2.653808184173017,82960.7829472826,37323.17430154909
CITY OF SACRAMENTO MAIN,516189,151211,159508,62060,1249,98585,9242,3005,31329,29.29,30.9,12.02,0.24,19.1,1.79,0.58,6.07,508800,77003,431797,15.13,194000,9540,9401,6217,6407,5804,6255,6278,6139,6729,13349,17396,26982,20453,15080,17439,20531,31565,31205,30745,62770,57727,35533,67435,21769,8217,29857,3476,1805,96708,47510,24524,37.5,17.81,2.6095944008555163,84694.01855912723,39105.608740826385
DEL PASO MANOR COUNTY WATER DI,5592,687,3967,390,15,119,31,21,361,12.29,70.94,6.97,0.27,2.13,0.55,0.38,6.46,5592,621,4971,11.11,2222,170,45,54,66,21,51,66,237,40,158,278,166,171,120,347,231,335,415,436,750,602,291,922,326,189,572,112,68,729,509,114,42.62,16.7,2.5168950080102928,90374.38264756008,40254.832685705536
DELTA CROSSING MHP,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
EAST WALNUT GROVE [SWS],3,2,2,0,0,0,0,0,0,66.67,66.67,0,0,0,0,0,0,3,1,3,33.33,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.49,68248,38950
EDGEWATER MOBILE HOME PARK,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
EL DORADO MOBILE HOME PARK,139,84,11,15,0,19,0,0,11,60.43,7.91,10.79,0,13.67,0,0,7.91,139,60,79,43.17,48,6,10,0,4,6,1,0,8,1,7,0,1,0,4,0,1,20,16,7,36,8,4,3,0,0,10,5,5,35,17,10,45.83,31.25,2.71,29468,17394
EL DORADO WEST MHP,148,89,12,16,0,20,0,0,12,60.14,8.11,10.81,0,13.51,0,0,8.11,147,63,84,42.86,51,6,10,0,4,6,1,0,8,2,8,0,1,0,5,0,1,20,17,8,37,9,5,3,0,0,10,6,6,38,18,10,47.06,31.37,2.7099999999999995,29468.000000000004,17394
ELEVEN OAKS MOBILE HOME COMMUNITY,233,45,94,56,0,37,0,0,1,19.31,40.34,24.03,0,15.88,0,0,0.43,233,87,146,37.34,71,7,2,3,6,10,2,1,1,3,1,13,17,3,0,3,0,18,17,14,35,31,3,8,3,1,21,1,1,42,29,23,46.48,35.21,3.28,60521,18213
ELK GROVE WATER SERVICE,42647,7656,19550,3209,70,8939,388,283,2552,17.95,45.84,7.52,0.16,20.96,0.91,0.66,5.98,42258,3264,38994,7.72,13239,430,202,253,224,328,102,345,292,245,667,1117,1441,1470,1386,1907,2832,1109,1312,1784,2421,3225,2856,7552,1903,628,2861,283,113,2826,1595,864,28.56,12.12,3.179068135170295,122770.99741351404,43429.03313732531
FAIR OAKS WATER DISTRICT,36003,4655,27050,708,94,1372,12,193,1920,12.93,75.13,1.97,0.26,3.81,0.03,0.54,5.33,35775,2852,32923,7.97,14233,546,332,113,229,208,391,206,469,293,804,1064,2214,1447,1568,1875,2474,1220,1567,1868,2787,4082,3015,7090,1872,845,3092,261,108,4051,1844,768,27.94,12.09,2.4802167837955067,107985.74325851546,54435.00970487184
FLORIN COUNTY WATER DISTRICT,9951,2963,1548,1394,7,2743,866,89,342,29.78,15.56,14.01,0.07,27.57,8.7,0.89,3.44,9835,1285,8550,13.07,2755,84,125,53,154,103,46,86,176,224,258,223,432,297,215,143,137,416,635,481,1051,913,512,981,426,90,675,49,28,1100,476,260,34.52,13.72,3.573005180660505,67048.12268615587,24517.639859299343
FOLSOM STATE PRISON,3536,1257,652,1390,57,70,34,18,59,35.55,18.44,39.31,1.61,1.98,0.96,0.51,1.67,29,1,28,3.45,23,0,0,0,0,0,0,0,0,0,0,0,0,4,4,12,1,0,0,0,0,0,8,3,1,0,0,0,0,19,0,0,4.35,0,2.726311489407616,161047.2164545734,2271.2201161818602
"FOLSOM, CITY OF - ASHLAND",3845,318,2934,43,1,125,1,4,419,8.27,76.31,1.12,0.03,3.25,0.03,0.1,10.9,3780,143,3637,3.78,1800,44,17,104,43,34,209,103,74,43,43,158,248,132,80,123,345,208,463,201,671,449,212,594,164,90,847,368,82,358,196,74,40.44,13.67,2.087285536960886,76810.17111631615,56773.973812166274
"FOLSOM, CITY OF - MAIN",62462,8433,35222,1693,105,12934,177,242,3655,13.5,56.39,2.71,0.17,20.71,0.28,0.39,5.85,62115,3405,58710,5.48,22409,807,218,390,477,418,283,329,373,451,670,1181,2255,2382,1747,4083,6344,1892,1854,1851,3746,4106,4129,11491,2728,1179,3590,237,146,7328,3010,1321,26.66,11.81,2.7693559569400805,141856.37152396925,58469.34569630441
