water_system_name,variable,variable_type,variable_group_type,value
B & W RESORT MARINA,Total Population,Count,Population,0
B & W RESORT MARINA,Hispanic / Latino,Count,Population,0
B & W RESORT MARINA,White,Count,Population,0
B & W RESORT MARINA,Black / African American,Count,Population,0
B & W RESORT MARINA,Native American,Count,Population,0
B & W RESORT MARINA,Asian,Count,Population,0
B & W RESORT MARINA,Pacific Islander,Count,Population,0
B & W RESORT MARINA,Other / Multiple,Count,Population,0
B & W RESORT MARINA,Hispanic / Latino,Percent,Population,41.43
B & W RESORT MARINA,White,Percent,Population,52.47
B & W RESORT MARINA,Black / African American,Percent,Population,0
B & W RESORT MARINA,Native American,Percent,Population,0
B & W RESORT MARINA,Asian,Percent,Population,4.55
B & W RESORT MARINA,Pacific Islander,Percent,Population,0
B & W RESORT MARINA,Other / Multiple,Percent,Population,1.56
B & W RESORT MARINA,Poverty - Total Assessed,Count,Population,0
B & W RESORT MARINA,Poverty - Below Level,Count,Population,0
B & W RESORT MARINA,Poverty - Above Level,Count,Population,0
B & W RESORT MARINA,Poverty Rate,Percent,Population,22.6
B & W RESORT MARINA,Total Households,Count,Households,0
B & W RESORT MARINA,Income Below 10k,Count,Households,0
B & W RESORT MARINA,Income 10k-15k,Count,Households,0
B & W RESORT MARINA,Income 15k-20k,Count,Households,0
B & W RESORT MARINA,Income 20k-25k,Count,Households,0
B & W RESORT MARINA,Income 25k-30k,Count,Households,0
B & W RESORT MARINA,Income 30k-35k,Count,Households,0
B & W RESORT MARINA,Income 35k-40k,Count,Households,0
B & W RESORT MARINA,Income 40k-45k,Count,Households,0
B & W RESORT MARINA,Income 45k-50k,Count,Households,0
B & W RESORT MARINA,Income 50k-60k,Count,Households,0
B & W RESORT MARINA,Income 60k-75k,Count,Households,0
B & W RESORT MARINA,Income 75k-100k,Count,Households,0
B & W RESORT MARINA,Income 100k-125k,Count,Households,0
B & W RESORT MARINA,Income 125k-150k,Count,Households,0
B & W RESORT MARINA,Income 150k-200k,Count,Households,0
B & W RESORT MARINA,Income Above 200k,Count,Households,0
B & W RESORT MARINA,Income 0-25k,Count,Households,0
B & W RESORT MARINA,Income 25k-50k,Count,Households,0
B & W RESORT MARINA,Income 50k-75k,Count,Households,0
B & W RESORT MARINA,Income 0-50k,Count,Households,0
B & W RESORT MARINA,Income 50k-100k,Count,Households,0
B & W RESORT MARINA,Income 100k-150k,Count,Households,0
B & W RESORT MARINA,Mortgage - Total,Count,Households,0
B & W RESORT MARINA,Mortgage - Housing Costs Over 30% Income,Count,Households,0
B & W RESORT MARINA,Mortgage - Housing Costs Over 50% Income,Count,Households,0
B & W RESORT MARINA,No Mortgage - Total,Count,Households,0
B & W RESORT MARINA,No Mortgage - Housing Costs Over 30% Income,Count,Households,0
B & W RESORT MARINA,No Mortgage - Housing Costs Over 50% Income,Count,Households,0
B & W RESORT MARINA,Rent - Total,Count,Households,0
B & W RESORT MARINA,Rent - Housing Costs Over 30% Income,Count,Households,0
B & W RESORT MARINA,Rent - Housing Costs Over 50% Income,Count,Households,0
B & W RESORT MARINA,All Households - Housing Costs Over 30% Income,Percent,Households,40.53
B & W RESORT MARINA,All Households - Housing Costs Over 50% Income,Percent,Households,21.84
B & W RESORT MARINA,Average Household Size,Hh Weighted,Household Weighted,2.03
B & W RESORT MARINA,Median Household Income,Hh Weighted,Household Weighted,51977
B & W RESORT MARINA,Per Capita Income,Pop Weighted,Population Weighted,40522
CAL AM FRUITRIDGE VISTA,Total Population,Count,Population,22603
CAL AM FRUITRIDGE VISTA,Hispanic / Latino,Count,Population,10939
CAL AM FRUITRIDGE VISTA,White,Count,Population,3504
CAL AM FRUITRIDGE VISTA,Black / African American,Count,Population,2663
CAL AM FRUITRIDGE VISTA,Native American,Count,Population,121
CAL AM FRUITRIDGE VISTA,Asian,Count,Population,4075
CAL AM FRUITRIDGE VISTA,Pacific Islander,Count,Population,240
CAL AM FRUITRIDGE VISTA,Other / Multiple,Count,Population,1060
CAL AM FRUITRIDGE VISTA,Hispanic / Latino,Percent,Population,48.4
CAL AM FRUITRIDGE VISTA,White,Percent,Population,15.5
CAL AM FRUITRIDGE VISTA,Black / African American,Percent,Population,11.78
CAL AM FRUITRIDGE VISTA,Native American,Percent,Population,0.54
CAL AM FRUITRIDGE VISTA,Asian,Percent,Population,18.03
CAL AM FRUITRIDGE VISTA,Pacific Islander,Percent,Population,1.06
CAL AM FRUITRIDGE VISTA,Other / Multiple,Percent,Population,4.69
CAL AM FRUITRIDGE VISTA,Poverty - Total Assessed,Count,Population,22556
CAL AM FRUITRIDGE VISTA,Poverty - Below Level,Count,Population,6010
CAL AM FRUITRIDGE VISTA,Poverty - Above Level,Count,Population,16546
CAL AM FRUITRIDGE VISTA,Poverty Rate,Percent,Population,26.64
CAL AM FRUITRIDGE VISTA,Total Households,Count,Households,6900
CAL AM FRUITRIDGE VISTA,Income Below 10k,Count,Households,354
CAL AM FRUITRIDGE VISTA,Income 10k-15k,Count,Households,339
CAL AM FRUITRIDGE VISTA,Income 15k-20k,Count,Households,521
CAL AM FRUITRIDGE VISTA,Income 20k-25k,Count,Households,263
CAL AM FRUITRIDGE VISTA,Income 25k-30k,Count,Households,367
CAL AM FRUITRIDGE VISTA,Income 30k-35k,Count,Households,302
CAL AM FRUITRIDGE VISTA,Income 35k-40k,Count,Households,359
CAL AM FRUITRIDGE VISTA,Income 40k-45k,Count,Households,355
CAL AM FRUITRIDGE VISTA,Income 45k-50k,Count,Households,565
CAL AM FRUITRIDGE VISTA,Income 50k-60k,Count,Households,692
CAL AM FRUITRIDGE VISTA,Income 60k-75k,Count,Households,876
CAL AM FRUITRIDGE VISTA,Income 75k-100k,Count,Households,784
CAL AM FRUITRIDGE VISTA,Income 100k-125k,Count,Households,459
CAL AM FRUITRIDGE VISTA,Income 125k-150k,Count,Households,235
CAL AM FRUITRIDGE VISTA,Income 150k-200k,Count,Households,287
CAL AM FRUITRIDGE VISTA,Income Above 200k,Count,Households,141
CAL AM FRUITRIDGE VISTA,Income 0-25k,Count,Households,1477
